,subtasks,description,crafter_subtasks
24,"['Make Iron Sword', 'Collect Wood', 'Place Table', 'Make Wood Sword']","""Fashion an Iron Sword, gather timber, position a Table, manufacture a Wood Sword.""","['make_iron_sword', 'collect_wood', 'place_table', 'make_wood_sword']"
25,"['Collect Coal', 'Place Table', 'Make Stone Pickaxe with count 1', 'Collect Iron', 'Make Iron Sword']"," ""Seek a chunk of coal, establish a table, forge a stone pick, delve for iron, and shape an iron blade.""","['collect_coal', 'place_table', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
26,"['Make Stone Pickaxe with count 3', 'Make Iron Sword', 'Collect Wood with count 2']","""Procure materials to craft a stone pickaxe three times, a sword made of iron, and gather two units of timber.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_iron_sword', 'collect_wood', 'collect_wood']"
27,"['Collect Sapling', 'Place Plant', 'Make Iron Sword']","""Gather a young tree, position a vegetation, and forge an iron blade.""","['collect_sapling', 'place_plant', 'make_iron_sword']"
28,"['Collect Sapling', 'Place Plant', 'Defeat Zombie']","""Gather a young tree, position it in the ground, and vanquish the undead creature.""","['collect_sapling', 'place_plant', 'defeat_zombie']"
29,"['Collect Sapling with count 3', 'Place Plant', 'Eat Cow with count 3']"," ""Seek out three young Saplings, carefully transplant a tender Plant, and partake of three Cows in the virtual realm.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_cow', 'eat_cow', 'eat_cow']"
30,"['Collect Iron', 'Eat Cow', 'Defeat Zombie']"," 'To advance, a wanderer in a land of the virtual must gather shimmering metals, feast on noble cattle, and defeat the wicked undead.'","['collect_iron', 'eat_cow', 'defeat_zombie']"
31,"['Make Stone Pickaxe', 'Collect Drink', 'Make Wood Pickaxe', 'Collect Stone']"," ""Obtain ore, refine it, and construct a furnace, then forge a pickaxe.""","['make_stone_pickaxe', 'collect_drink', 'make_wood_pickaxe', 'collect_stone']"
32,"['Eat Cow', 'Collect Drink', 'Wake Up']"," ""Begin your day with a draught from a bovine, then rouse yourself completely by sipping a beverage. Engage in combat with an adversary, then retreat from the conflict.""","['eat_cow', 'collect_drink', 'wake_up']"
33,"['Collect Wood with count 3', 'Collect Wood', 'Place Table']","""Gather three pieces of timber, amass additional firewood, and situate a table.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
34,"['Make Wood Sword with count 3', 'Collect Sapling with count 3', 'Collect Coal']"," ""Seek out three young trees, each no taller than a man's height, and gather them up. Also, find a goodly amount of coal, enough to forge a blade. And finally, obtain the materials needed to craft three wooden blades.""","['make_wood_sword', 'make_wood_sword', 'make_wood_sword', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'collect_coal']"
35,"['Eat Plant with count 2', 'Collect Coal', 'Collect Drink']"," ""Partake of two portions of the verdant growth, amass a hoard of coal, and secure a store of refreshing draughts.""","['eat_plant', 'eat_plant', 'collect_coal', 'collect_drink']"
36,"['Collect Drink', 'Place Table with count 3', 'Make Wood Pickaxe with count 2', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Prepare a drink, assemble a table of three, carve two wooden pickaxes, collect stones, smith a stone pickaxe, mine iron, and craft an iron blade.""","['collect_drink', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
37,"['Collect Wood', 'Place Table', 'Eat Plant']","Gather timber, set up a table, and consume vegetation.","['collect_wood', 'place_table', 'eat_plant']"
38,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Seek out the materials to forge a stone pickaxe, gather iron from the earth, and shape an iron sword with skill and care.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
39,"['Collect Stone', 'Make Stone Pickaxe', 'Collect Drink']","""Gather a rock, craft a stone pickaxe, and obtain a beverage.""","['collect_stone', 'make_stone_pickaxe', 'collect_drink']"
40,"['Eat Plant with count 3', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Consume three vegetal items, gather timber, construct a table, fashion a wooden pickaxe, accumulate lumber, manufacture a stone pickaxe, obtain mineral deposits, forge an iron sword.""","['eat_plant', 'eat_plant', 'eat_plant', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
41,"['Collect Wood', 'Place Plant', 'Eat Plant']"," 'Collect logs, place a bush, and dine on herbs.'","['collect_wood', 'place_plant', 'eat_plant']"
42,"['Make Wood Pickaxe', 'Make Wood Pickaxe', 'Collect Coal']"," ""Fashion a pickaxe from wood, then seek out coal in the earth's embrace.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal']"
43,"['Make Wood Pickaxe', 'Collect Stone', 'Make Iron Pickaxe with count 3', 'Collect Diamond']"," ""Fashion a pickaxe of wood, gather stones in plenty, forge three pickaxes of iron, and delve deep for diamonds.""","['make_wood_pickaxe', 'collect_stone', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond']"
44,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 3', 'Collect Stone with count 6', 'Place Furnace']"," ""Gather stones, build a furnace, mine iron ore, smelt it, accumulate five bars, craft an iron pickaxe, excavate three diamond ores, and forge a diamond pickaxe.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
45,"['Collect Coal', 'Make Iron Sword', 'Make Stone Pickaxe', 'Collect Iron']"," ""Gather coals from the earth, forge an iron sword, carve a stone pickaxe, and amass the iron.""","['collect_coal', 'make_iron_sword', 'make_stone_pickaxe', 'collect_iron']"
46,"['Defeat Skeleton with count 3', 'Eat Plant', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 1']"," ""Dispatch the trio of Skeletons, replenish yourself with a nearby Plant, assemble a Table, fashion a Wood Pickaxe, collect Stone, and smith a Stone Sword.""","['defeat_skeleton', 'defeat_skeleton', 'defeat_skeleton', 'eat_plant', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
47,"['Make Stone Pickaxe', 'Defeat Skeleton', 'Place Table', 'Make Wood Pickaxe with count 2']"," ""Fashion two wooden pickaxes, dispatch a skeleton, and build a stone pickaxe and a table in your vicinity.""","['make_stone_pickaxe', 'defeat_skeleton', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe']"
48,"['Collect Drink with count 2', 'Collect Wood', 'Make Iron Sword']"," ""Seek twice a draught, gather kindling, and shape an iron brand.""","['collect_drink', 'collect_drink', 'collect_wood', 'make_iron_sword']"
49,"['Make Wood Pickaxe', 'Collect Coal with count 2', 'Make Iron Pickaxe']","""Fashion a wooden pickaxe, gather precisely two units of coal, and manufacture an iron pickaxe.""","['make_wood_pickaxe', 'collect_coal', 'collect_coal', 'make_iron_pickaxe']"
50,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 1']","""Fashion a wooden pickaxe, gather some stones, and craft a stone sword with exactly one unit.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
51,"['Collect Wood', 'Place Table', 'Place Furnace']"," ""Collect logs for a blaze, prepare a setting for a feast, and set up a hearth for warmth.""","['collect_wood', 'place_table', 'place_furnace']"
52,"['Defeat Skeleton', 'Make Iron Pickaxe', 'Collect Diamond with count 2']"," ""Slay the bony foe, forge an iron pick, and gather two gems of diamond-like splendor.""","['defeat_skeleton', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
53,"['Make Stone Sword with count 2', 'Place Stone', 'Collect Iron']","""Fashion a pair of stone blades, procure raw iron, and position a stone block in your vicinity.""","['make_stone_sword', 'make_stone_sword', 'place_stone', 'collect_iron']"
54,"['Collect Coal', 'Collect Coal', 'Make Iron Pickaxe with count 2']","""Gather two units of coal and forge an iron pickaxe in the environment.""","['collect_coal', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
55,"['Collect Iron', 'Make Iron Sword', 'Eat Cow']","""Gather metallic deposits, forge a sword from the ore, and consume a bovine.""","['collect_iron', 'make_iron_sword', 'eat_cow']"
56,"['Defeat Skeleton', 'Place Table', 'Collect Sapling']"," ""Vanquish the skeletal foe, place a board, and obtain a sproutling.""The subtasks, with synonyms, would be: ""Illuminate the chamber, shut the portal, and regulate the warmth.""""Unseal the casement, irrigate the verdure, and create a sound sequence.""""Open the portal, moisten the plant, and generate a melody.""","['defeat_skeleton', 'place_table', 'collect_sapling']"
57,"['Collect Coal', 'Make Iron Pickaxe', 'Place Plant']","""Gather coal, fashion an iron pickaxe, and position a plant.""","['collect_coal', 'make_iron_pickaxe', 'place_plant']"
58,"['Defeat Zombie', 'Collect Sapling with count 1', 'Place Plant']","""Vanquish the undead creature, gather a single sapling specimen, and position a plant.""","['defeat_zombie', 'collect_sapling', 'place_plant']"
59,"['Collect Sapling with count 3', 'Place Plant', 'Eat Cow']"," ""Seek out three young trees, carefully move a bush, and enjoy a cow's meat.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_cow']"
60,"['Collect Sapling with count 1', 'Place Plant', 'Collect Drink with count 2']"," 'Seek a young Tree, place a Flower, and acquire two Beverages.'","['collect_sapling', 'place_plant', 'collect_drink', 'collect_drink']"
61,"['Collect Drink with count 2', 'Collect Sapling', 'Place Furnace']"," ""Seek twice a draught, a sapling's grace, and a hearth's embrace.""","['collect_drink', 'collect_drink', 'collect_sapling', 'place_furnace']"
62,"['Collect Diamond', 'Make Wood Sword', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']","""Gather a diamond, craft a wooden sword, accumulate coal, fashion an iron pickaxe, and retrieve another diamond.""","['collect_diamond', 'make_wood_sword', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
63,"['Collect Diamond', 'Collect Iron', 'Make Iron Pickaxe']","""Gather a diamond and an iron, then use the iron to fashion a pickaxe.""","['collect_diamond', 'collect_iron', 'make_iron_pickaxe']"
64,"['Collect Sapling', 'Defeat Zombie', 'Eat Plant']"," ""Acquire a sapling, slay a wight, and dine on a leafy delight.""","['collect_sapling', 'defeat_zombie', 'eat_plant']"
65,"['Defeat Zombie', 'Collect Stone', 'Collect Wood']","Instruct the agent to vanquish the undead, gather stones, and amass timber in a virtual environment.","['defeat_zombie', 'collect_stone', 'collect_wood']"
66,"['Make Stone Pickaxe', 'Defeat Zombie', 'Defeat Zombie']","""Fashion a pickaxe of stone and in the crafting, bring low two of the dark-clad creatures that shamble in the night.""","['make_stone_pickaxe', 'defeat_zombie', 'defeat_zombie']"
67,"['Eat Plant', 'Defeat Skeleton', 'Defeat Zombie with count 2']"," ""Partake of the verdant growths, lay low two of the spectral bone-folk, and bring down the undead creature of corruption.""","['eat_plant', 'defeat_skeleton', 'defeat_zombie', 'defeat_zombie']"
68,"['Collect Diamond', 'Eat Cow', 'Collect Wood with count 3', 'Place Table with count 2', 'Make Wood Pickaxe', 'Collect Coal']"," ""Seek a gem of diamond, feast on a cow, find three staves of wood, build two tables, carve a pickaxe of wood, and delve for coal.""","['collect_diamond', 'eat_cow', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
69,"['Collect Wood', 'Place Table with count 3', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Gather firewood, construct a table with the quantity of three, craft a wooden pickaxe, accumulate rocks, and manufacture a stone sword.""","['collect_wood', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
70,"['Collect Stone', 'Place Table', 'Make Wood Pickaxe']","""Gather pebbles, set up a piece of furniture, and craft a wooden tool for mining.""","['collect_stone', 'place_table', 'make_wood_pickaxe']"
71,"['Collect Sapling', 'Place Plant', 'Collect Iron']"," ""Find a sapling, plant it in the earth, and seek out the shining metal.""","['collect_sapling', 'place_plant', 'collect_iron']"
72,"['Defeat Zombie', 'Collect Wood with count 3', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 2', 'Make Iron Pickaxe']"," ""Slay the ghastly revenant, reap three logs, gather more kindling, carve a table, fashion a wooden pick, seek two nuggets of coal, and smith an iron pick.""","['defeat_zombie', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'make_iron_pickaxe']"
73,"['Eat Cow', 'Place Table', 'Make Iron Sword']"," ""Partake of the noble beef, place a sturdy piece of furniture, and forge a mighty weapon of metal.""","['eat_cow', 'place_table', 'make_iron_sword']"
74,"['Defeat Zombie', 'Collect Wood', 'Collect Sapling', 'Place Plant with count 2', 'Eat Plant']","""Vanquish the undead menace, gather timber, collect young tree shoots, position vegetation twice, and consume flora.""","['defeat_zombie', 'collect_wood', 'collect_sapling', 'place_plant', 'place_plant', 'eat_plant']"
75,"['Defeat Skeleton', 'Place Plant', 'Eat Plant']","""Vanquish the bony adversary, position a flora, and consume the vegetation.""","['defeat_skeleton', 'place_plant', 'eat_plant']"
76,"['Make Stone Sword', 'Place Plant', 'Eat Cow']","""Craft a stone blade, position a vegetation item, and consume a bovine creature.""","['make_stone_sword', 'place_plant', 'eat_cow']"
77,"['Collect Drink with count 1', 'Make Wood Sword', 'Collect Wood', 'Place Table']"," ""Obtain a drink, one in number, forge a wooden sword, seek out timber, and place a table.""","['collect_drink', 'make_wood_sword', 'collect_wood', 'place_table']"
78,"['Make Iron Sword', 'Make Wood Pickaxe with count 2', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']","Make a steel sword, craft two wooden pickaxes, create another wooden pickaxe, gather stones, forge a stone pickaxe, and accumulate iron.","['make_iron_sword', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
79,"['Collect Diamond', 'Wake Up', 'Collect Iron']","""Gather Diamond, rouse from slumber, and accumulate Iron.""","['collect_diamond', 'wake_up', 'collect_iron']"
80,"['Collect Stone with count 1', 'Collect Sapling', 'Collect Coal']","Gather a single Stone, obtain a Sapling, and acquire some Coal in the environment.","['collect_stone', 'collect_sapling', 'collect_coal']"
81,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 1']","""Fashion a wooden pickaxe, gather some stones, and craft a stone sword with exactly one unit.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
82,"['Collect Sapling', 'Collect Drink with count 3', 'Make Iron Pickaxe']"," ""Seek out a sapling yet ungrown, three servings of a drink, and a pickaxe of sturdy metal.""","['collect_sapling', 'collect_drink', 'collect_drink', 'collect_drink', 'make_iron_pickaxe']"
83,"['Collect Diamond', 'Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather a diamond, accumulate timber, construct a table, and manufacture a wooden sword.""","['collect_diamond', 'collect_wood', 'place_table', 'make_wood_sword']"
84,"['Make Stone Pickaxe', 'Place Plant with count 1', 'Eat Plant']"," ""Fashion a stone pickaxe, place a single herb in the earth, and taste a morsel of vegetable matter.""","['make_stone_pickaxe', 'place_plant', 'eat_plant']"
85,"['Collect Stone', 'Place Furnace', 'Eat Cow with count 3']"," ""Find a stone, build a hearth, and feast on three beasts of the field.""","['collect_stone', 'place_furnace', 'eat_cow', 'eat_cow', 'eat_cow']"
86,"['Collect Diamond with count 2', 'Place Furnace', 'Defeat Skeleton']"," 'In the digital realm, a wanderer must seek a gleaming gemstone, forge a fiery furnace, and defeat a bony specter.'","['collect_diamond', 'collect_diamond', 'place_furnace', 'defeat_skeleton']"
87,"['Make Stone Sword with count 1', 'Make Stone Pickaxe', 'Collect Iron']","Make a stone blade with a single unit, craft a stone pickaxe, and gather iron.","['make_stone_sword', 'make_stone_pickaxe', 'collect_iron']"
88,"['Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Gather firewood, build a table with but two items, carve a wooden pickaxe, seek out rocks, and forge a stone sword.""","['collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
89,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
90,"['Collect Wood with count 3', 'Place Table', 'Collect Coal']","""Gather three pieces of timber, construct a table, and accumulate some coal.""","['collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'collect_coal']"
91,"['Collect Iron', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table']"," ""Seek out the necessary iron, shape it into a pick, gather wood, and build a table from the wooden planks.""","['collect_iron', 'make_iron_pickaxe', 'collect_wood', 'place_table']"
92,"['Defeat Zombie', 'Collect Coal', 'Place Plant']"," 'Bid the valiant agent to lay low the unliving dead, to gather the black gold of the earth, and to place a living plant.'","['defeat_zombie', 'collect_coal', 'place_plant']"
93,"['Collect Coal with count 3', 'Make Wood Pickaxe', 'Collect Coal']"," ""Seek out three lumps of coal, carve a pick from the forest's bounty, and delve for three more lumps of coal in the earth's embrace.""","['collect_coal', 'collect_coal', 'collect_coal', 'make_wood_pickaxe', 'collect_coal']"
94,"['Collect Sapling', 'Place Plant', 'Collect Wood with count 4', 'Place Table with count 1', 'Make Wood Pickaxe with count 2', 'Collect Coal', 'Make Iron Pickaxe']"," ""Find a young tree, carefully move it to a new home, collect four staves, place a board, carve two wooden tools, delve into the earth for coal, and shape an iron pick from the forge.""","['collect_sapling', 'place_plant', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
95,"['Collect Coal', 'Make Iron Pickaxe with count 2', 'Collect Diamond']","""Gather two Iron Pickaxes, mine Coal twice, and obtain a Diamond.""","['collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond']"
96,"['Defeat Zombie', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe with count 2']"," ""Slay the unquiet dead, gather the timber of the trees, build a table of wood, craft a wooden pickaxe, collect stones, and forge two stone pickaxes.""","['defeat_zombie', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe']"
97,"['Make Wood Sword with count 2', 'Place Plant', 'Place Stone']","""Fashion two wooden swords and position a plant and a stone in the environment.""","['make_wood_sword', 'make_wood_sword', 'place_plant', 'place_stone']"
98,"['Eat Cow', 'Place Table with count 1', 'Make Iron Sword with count 2']"," ""Slay a noble steer, set a sturdy table with a single loaf, and forge an iron sword twice in the fire.""","['eat_cow', 'place_table', 'make_iron_sword', 'make_iron_sword']"
99,"['Collect Stone with count 2', 'Place Table', 'Make Wood Sword with count 1']"," 'Find two stones, build a table of wood, and carve a sword from a tree trunk.'","['collect_stone', 'collect_stone', 'place_table', 'make_wood_sword']"
100,"['Make Wood Pickaxe', 'Collect Stone', 'Make Iron Pickaxe with count 3', 'Collect Diamond']","""Construct a wooden pickaxe, gather some stones, manufacture three iron pickaxes, and mine diamonds.""","['make_wood_pickaxe', 'collect_stone', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond']"
101,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal']","Instruct the agent to vanquish the undead, craft a wooden pickaxe, and gather coal in a virtual environment.","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal']"
102,"['Defeat Zombie', 'Collect Sapling', 'Collect Wood with count 1']"," ""Slay the ghastly undead, find a young sapling, and claim a single plank.""","['defeat_zombie', 'collect_sapling', 'collect_wood']"
103,"['Make Iron Sword', 'Collect Sapling', 'Defeat Zombie']","""Forge an iron blade, gather a tree sprout, and vanquish a living corpse.""","['make_iron_sword', 'collect_sapling', 'defeat_zombie']"
104,"['Collect Drink', 'Collect Drink', 'Make Iron Sword with count 1']","""Gather a beverage and craft an iron sword with a quantity of one.""","['collect_drink', 'collect_drink', 'make_iron_sword']"
105,"['Make Wood Pickaxe', 'Place Stone', 'Make Wood Pickaxe', 'Collect Stone']"," ""Fashion a pickaxe of wood, delve into the earth for minerals, craft another wooden pickaxe, and gather the yielded treasures.""","['make_wood_pickaxe', 'place_stone', 'make_wood_pickaxe', 'collect_stone']"
106,"['Collect Coal with count 1', 'Make Iron Pickaxe', 'Collect Sapling']"," ""Seek out a lump of coal, a blacksmith's forge, and a young tree's offspring. With these, forge an iron pickaxe, a tool to mine with, and plant the sapling to ensure the forest's continuation.""","['collect_coal', 'make_iron_pickaxe', 'collect_sapling']"
107,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe']"," ""Collect logs for a fire, build a sturdy table, and fashion a wooden pickaxe.""","['collect_wood', 'place_table', 'make_wood_pickaxe']"
108,"['Collect Sapling', 'Collect Stone with count 2', 'Make Stone Pickaxe with count 1']","""Gather a sapling, obtain two stones, and craft a pickaxe made of stone.""","['collect_sapling', 'collect_stone', 'collect_stone', 'make_stone_pickaxe']"
